part,grid_x,grid_y,grid_z,size_x_mm,size_y_mm,size_z_mm,faces,file
x1_y1_z2,1,1,2,25.70,150.52,84.84,1480,image-to-stl-1787233955901_part_x1_y1_z2.stl
x1_y1_z3,1,1,3,45.72,151.35,174.00,3650,image-to-stl-1787233955901_part_x1_y1_z3.stl
x1_y1_z4,1,1,4,48.15,151.42,174.00,3506,image-to-stl-1787233955901_part_x1_y1_z4.stl
x1_y1_z5,1,1,5,46.19,150.62,174.00,3228,image-to-stl-1787233955901_part_x1_y1_z5.stl
x1_y1_z6,1,1,6,26.55,104.86,79.35,2258,image-to-stl-1787233955901_part_x1_y1_z6.stl
x1_y2_z1,1,2,1,24.93,32.43,68.89,704,image-to-stl-1787233955901_part_x1_y2_z1.stl
x1_y2_z2,1,2,2,161.67,151.42,174.00,4748,image-to-stl-1787233955901_part_x1_y2_z2.stl
x1_y2_z3,1,2,3,165.67,151.42,174.00,5568,image-to-stl-1787233955901_part_x1_y2_z3.stl
x1_y2_z4,1,2,4,161.82,151.42,174.00,6308,image-to-stl-1787233955901_part_x1_y2_z4.stl
x1_y2_z5,1,2,5,138.01,151.42,174.00,5234,image-to-stl-1787233955901_part_x1_y2_z5.stl
x1_y2_z6,1,2,6,93.63,147.42,174.00,3894,image-to-stl-1787233955901_part_x1_y2_z6.stl
x1_y2_z7,1,2,7,51.23,24.46,170.00,1128,image-to-stl-1787233955901_part_x1_y2_z7.stl
x1_y2_z8,1,2,8,5.79,10.88,26.68,98,image-to-stl-1787233955901_part_x1_y2_z8.stl
x1_y3_z1,1,3,1,81.64,52.35,67.14,1366,image-to-stl-1787233955901_part_x1_y3_z1.stl
x1_y3_z2,1,3,2,139.80,69.66,174.00,3572,image-to-stl-1787233955901_part_x1_y3_z2.stl
x1_y3_z3,1,3,3,141.58,70.74,174.00,2742,image-to-stl-1787233955901_part_x1_y3_z3.stl
x1_y3_z4,1,3,4,134.85,69.39,174.00,3258,image-to-stl-1787233955901_part_x1_y3_z4.stl
x1_y3_z5,1,3,5,78.03,59.55,174.00,2122,image-to-stl-1787233955901_part_x1_y3_z5.stl
x1_y3_z6,1,3,6,21.04,30.95,152.42,892,image-to-stl-1787233955901_part_x1_y3_z6.stl
x2_y1_z2,2,1,2,112.49,151.37,145.76,5522,image-to-stl-1787233955901_part_x2_y1_z2.stl
x2_y1_z3,2,1,3,125.82,151.38,174.00,4504,image-to-stl-1787233955901_part_x2_y1_z3.stl
x2_y1_z4,2,1,4,131.04,151.40,174.00,3900,image-to-stl-1787233955901_part_x2_y1_z4.stl
x2_y1_z5,2,1,5,131.56,151.39,174.00,4932,image-to-stl-1787233955901_part_x2_y1_z5.stl
x2_y1_z6,2,1,6,129.96,151.34,152.76,5626,image-to-stl-1787233955901_part_x2_y1_z6.stl
x2_y2_z1,2,2,1,165.67,137.83,174.00,4878,image-to-stl-1787233955901_part_x2_y2_z1.stl
x2_y2_z2,2,2,2,165.67,151.42,174.00,5850,image-to-stl-1787233955901_part_x2_y2_z2.stl
x2_y2_z3,2,2,3,165.67,151.42,174.00,3542,image-to-stl-1787233955901_part_x2_y2_z3.stl
x2_y2_z4,2,2,4,165.67,151.42,174.00,3084,image-to-stl-1787233955901_part_x2_y2_z4.stl
x2_y2_z5,2,2,5,165.67,151.42,174.00,3572,image-to-stl-1787233955901_part_x2_y2_z5.stl
x2_y2_z6,2,2,6,165.67,151.42,174.00,7388,image-to-stl-1787233955901_part_x2_y2_z6.stl
x2_y2_z7,2,2,7,165.67,115.40,174.00,4946,image-to-stl-1787233955901_part_x2_y2_z7.stl
x2_y2_z8,2,2,8,122.35,29.18,174.00,2138,image-to-stl-1787233955901_part_x2_y2_z8.stl
x2_y2_z9,2,2,9,138.12,30.07,174.00,2474,image-to-stl-1787233955901_part_x2_y2_z9.stl
x2_y2_z10,2,2,10,113.37,26.75,170.00,1886,image-to-stl-1787233955901_part_x2_y2_z10.stl
x2_y3_z1,2,3,1,165.67,135.07,116.76,5032,image-to-stl-1787233955901_part_x2_y3_z1.stl
x2_y3_z2,2,3,2,165.67,144.51,174.00,4834,image-to-stl-1787233955901_part_x2_y3_z2.stl
x2_y3_z3,2,3,3,165.67,147.38,174.00,3690,image-to-stl-1787233955901_part_x2_y3_z3.stl
x2_y3_z4,2,3,4,165.67,147.42,174.00,3838,image-to-stl-1787233955901_part_x2_y3_z4.stl
x2_y3_z5,2,3,5,165.67,146.91,174.00,4816,image-to-stl-1787233955901_part_x2_y3_z5.stl
x2_y3_z6,2,3,6,165.67,141.73,174.00,5522,image-to-stl-1787233955901_part_x2_y3_z6.stl
